reviews,sentiment
This product gave me such a beautiful glow! My skin is visibly brighter and more even.,Positive
"I’ve been using it for weeks, and there’s no change in my dark spots or complexion.",Negative
"The serum is lightweight and absorbs quickly, but I didn’t see any improvement in my skin.",Neutral
I am in love with this serum! It made my skin tone more even and brighter after just a week.,Positive
"I don’t think this serum worked for me. My skin feels a bit oily, and the results weren’t worth it.",Negative
Great serum! My skin has become much more radiant and smooth. It’s now a part of my daily routine.,Positive
"It’s just okay, not bad, but also not great. I don’t think I’ll repurchase it.",Neutral
This serum made my skin break out after a few days of use. Not impressed.,Negative
I’m really happy with this product! It works wonders for brightening my skin and giving it a fresh glow.,Positive
"It didn’t work for me. My skin stayed the same, and I’m not happy with the results.",Negative
I love how my skin feels after using this serum! It's softer and brighter.,Positive
"The serum is okay, but I didn’t see any noticeable difference after a few weeks.",Neutral
"My skin feels hydrated and smooth, but it didn’t make a big difference in brightening.",Neutral
Amazing product! It helped lighten my dark spots and gave me a youthful glow.,Positive
The serum didn’t live up to its promises. It’s very average and didn’t lighten my skin.,Negative
"I’ve been using it for a month, and I can see a visible change in my skin’s texture and brightness.",Positive
It feels nice on the skin but didn’t brighten my complexion or reduce dark spots.,Neutral
It’s just an average product for me. No noticeable improvements in my skin tone.,Negative
"This serum made my skin feel amazing, and my complexion looks much brighter now.",Positive
I used this serum for weeks but didn't see any improvement in my skin tone. Disappointing.,Negative
This serum works wonders! My skin is brighter and more even after just a few days.,Positive
"It's okay, but I didn't experience the brightening effect it promises. Wouldn’t buy again.",Neutral
My skin has become so smooth and glowing! Definitely a keeper in my skincare routine.,Positive
The serum made my skin feel oily and sticky. Didn’t see any difference after weeks of use.,Negative
"It’s a decent product, but I expected more. It didn’t really brighten my skin like I hoped.",Neutral
My dark spots have faded and my skin feels so much softer. I love this serum!,Positive
I didn’t experience any positive results. My skin didn’t feel any smoother or lighter.,Negative
"The serum absorbs quickly and leaves my skin feeling refreshed, but I don’t notice much brightening.",Neutral
This serum really works for me! My complexion is brighter and more even after using it for a few weeks.,Positive
This serum irritated my skin and caused redness. I had to stop using it.,Negative
I love how lightweight this serum is! My skin feels hydrated and radiant.,Positive
"It’s an okay product, but I haven’t seen the brightening effect I was hoping for.",Neutral
This serum made my skin glow and reduced dark spots significantly. Highly recommend it!,Positive
"I didn’t like the sticky texture, and it didn’t improve my skin at all.",Negative
"The results are subtle. My skin feels a bit softer, but I’m not sure it’s worth repurchasing.",Neutral
This serum has been a game-changer for me! My skin is brighter and smoother.,Positive
"I’m really disappointed. My skin didn’t change, and the serum made me break out.",Negative
"It’s an average product. My skin feels okay, but there’s no visible improvement.",Neutral
"I’ve been using it daily, and my complexion looks so much brighter and healthier!",Positive
This serum feels nice on the skin but didn’t make a noticeable difference in my complexion.,Neutral
"My skin tone is more even, and I love how soft my skin feels now. Fantastic product!",Positive
"Unfortunately, this serum didn’t work for me. It caused dryness and irritation.",Negative
"The product is okay. It didn’t harm my skin, but it also didn’t do much to improve it.",Neutral
This serum exceeded my expectations! My skin looks brighter and feels healthier.,Positive
"I didn’t see any changes in my skin tone, and it’s not worth the price.",Negative
"It’s a decent serum. My skin feels hydrated, but I was hoping for more visible results.",Neutral
"I love this serum! My skin is glowing, and I’ve received so many compliments on my complexion.",Positive
"It caused breakouts on my skin, and I didn’t notice any brightening effect.",Negative
The serum works well. My skin feels soft and has a natural glow after regular use.,Positive
"This serum left my skin feeling sticky, and I saw no improvement. Very disappointing.",Negative
I absolutely love it! My skin is brighter and feels smoother after just a week of use.,Positive
"It’s a decent product, but I haven’t seen any significant changes in my skin tone.",Neutral
"This serum has transformed my skin! My dark spots are fading, and my complexion glows.",Positive
I experienced redness and itching after using this serum. It didn’t suit my skin at all.,Negative
"It’s alright, but I don’t think I’ll buy it again. It didn’t do much for my skin.",Neutral
This product is amazing! My skin looks so much more even and radiant now.,Positive
I used this serum for a month and saw no results. It was a waste of money.,Negative
"The serum feels lightweight and hydrating, but the brightening effect is minimal.",Neutral
"After using this serum, my skin feels softer and looks healthier. I’m very pleased!",Positive
"This serum caused me to break out, and my skin feels worse than before I started using it.",Negative
"It’s a good serum, but I haven’t noticed a major difference in my skin tone yet.",Neutral
My skin looks so much brighter and more even-toned now. I’m thrilled with the results!,Positive
"It didn’t work for me. My skin tone hasn’t changed, and it feels greasy after application.",Negative
"The results are subtle, but my skin feels hydrated and a little smoother.",Neutral
I’m so impressed with this serum! It has brightened my complexion and improved my skin texture.,Positive
This serum did nothing for my skin. I feel like I wasted my money.,Negative
"It’s a decent product, but I expected better results. My skin feels okay, not great.",Neutral
"My dark spots have faded, and my skin is glowing. I’m very happy with this product!",Positive
"The serum feels heavy on my skin, and I haven’t seen any noticeable improvement in my complexion.",Negative
I love how quickly it absorbs into my skin! My face feels soft and refreshed.,Positive
I’ve been using it for weeks and still don’t see any changes. It’s not effective.,Negative
"The serum is lightweight and feels nice, but the results are not noticeable.",Neutral
"This is the best serum I’ve tried! My dark spots are fading, and my skin looks radiant.",Positive
"I had high hopes, but this serum didn’t work at all. It just left my skin oily.",Negative
"It’s an average product. My skin feels okay, but I was expecting more noticeable results.",Neutral
Amazing product! My skin feels smoother and looks brighter after just a few days.,Positive
This serum caused redness and irritation on my skin. I won’t be using it again.,Negative
"The serum is decent. It moisturizes my skin well, but I haven’t seen much brightening.",Neutral
I’m so happy with this serum! It’s made my skin look and feel healthier than ever.,Positive
It left a greasy layer on my skin and didn’t improve my complexion at all.,Negative
"I’ve been using it consistently, and while my skin feels softer, there’s no visible change.",Neutral
"This serum really works! My complexion is glowing, and my skin feels rejuvenated.",Positive
"Unfortunately, it didn’t suit my skin. It caused dryness and didn’t brighten my face.",Negative
"The product is okay. It didn’t harm my skin, but it didn’t do much either.",Neutral
"I’ve seen such great results with this serum. My skin tone is even, and my face looks brighter!",Positive
"I regret buying this. It didn’t do anything, and I feel like I wasted my money.",Negative
"It’s a decent product. My skin feels hydrated, but the brightening effect is minimal.",Neutral
This serum exceeded my expectations! My skin looks radiant and feels so much smoother.,Positive
"The results were disappointing. My skin tone stayed the same, and it didn’t help with dark spots.",Negative
"The serum works wonders! My skin feels smoother, and the brightening effect is noticeable.",Positive
"I tried this for a month, but it didn’t lighten my skin at all. Very disappointing.",Negative
"The product is okay. My skin feels hydrated, but I don’t see any visible improvements.",Neutral
This serum made my skin glow! I’m impressed with the quick results.,Positive
"It caused breakouts on my skin, and the texture felt greasy after application.",Negative
"I feel indifferent about this product. It didn’t harm my skin, but it didn’t deliver results either.",Neutral
"Such an amazing product! My skin looks brighter, and my dark spots are fading fast.",Positive
"I regret buying this. My skin feels sticky, and there’s no improvement in brightness.",Negative
"The serum feels nice, but I don’t notice any changes in my skin tone after weeks of use.",Neutral
I love how radiant my skin looks now. This serum has become my daily essential!,Positive
This serum didn’t work for me at all. It caused redness and irritation on my skin.,Negative
"It’s a decent product. My skin feels softer, but the brightening effect is barely noticeable.",Neutral
This serum has completely changed my skincare game! My complexion is more even and bright.,Positive
"I’m not happy with this serum. It didn’t deliver the results I expected, and it’s overpriced.",Negative
"It’s okay, but I think there are better options out there. My skin feels the same as before.",Neutral
I’m obsessed with this product! My skin tone is so much more even and vibrant now.,Positive
"It left my skin feeling oily, and I didn’t notice any brightening effects. Won’t repurchase.",Negative
"It’s a fair product. My skin feels moisturized, but I was hoping for more drastic results.",Neutral
"I’m so glad I tried this serum! My skin looks healthier, and the glow is incredible.",Positive
This serum didn’t meet my expectations. My skin still looks the same after weeks of use.,Negative
"This serum has been great for my skin! It feels smoother, and I’ve noticed a brighter tone.",Positive
"I used it for a month, but there’s no noticeable change in my skin. Quite underwhelming.",Negative
"It’s an okay product. My skin feels hydrated, but I was expecting a better brightening effect.",Neutral
Love this serum! My skin is glowing and feels so soft. I highly recommend it.,Positive
It caused my skin to break out and left it feeling greasy. Not a fan of this product.,Negative
"It’s lightweight and easy to apply, but the results aren’t as dramatic as I’d hoped.",Neutral
"Amazing product! My dark spots have faded, and my complexion is brighter than ever.",Positive
This serum didn’t suit my skin. It caused irritation and left me disappointed.,Negative
"I didn’t notice much improvement, but it does feel hydrating and soothing on my skin.",Neutral
"I’m so impressed with this product! My skin tone looks even, and my face feels rejuvenated.",Positive
It made my skin feel sticky and didn’t deliver any visible brightening effects.,Negative
"It’s an average product. My skin feels moisturized, but I haven’t seen any other results.",Neutral
This is my favorite serum! It’s made such a difference in the brightness of my skin.,Positive
I wouldn’t recommend this serum. It didn’t work for me and felt heavy on my skin.,Negative
"The product is okay, but the brightening effect is too subtle to justify the price.",Neutral
I love how radiant my skin looks after using this! It’s definitely worth the purchase.,Positive
This serum caused dryness and irritation. I stopped using it after a week.,Negative
"It’s a decent product. My skin feels soft, but I was expecting more noticeable improvements.",Neutral
"I’m thrilled with this serum! It’s lightweight, effective, and makes my skin look flawless.",Positive
"Unfortunately, this serum didn’t work for me. It didn’t improve my skin tone at all.",Negative
I love how soft and glowing my skin feels after using this. It’s amazing!,Positive
I didn’t see any changes in my skin tone. It feels like a waste of money.,Negative
The serum is fine. It makes my skin feel moisturized but no brightening so far.,Neutral
This product exceeded my expectations! My skin looks healthier and radiant.,Positive
"Unfortunately, this serum irritated my skin and caused small breakouts.",Negative
"It’s decent, but I feel like the brightening effect is very subtle and not worth the price.",Neutral
This serum is my holy grail! My complexion is brighter and even-toned now.,Positive
"It left my skin feeling sticky, and I haven’t noticed any visible improvements.",Negative
"It’s okay. My skin feels a little softer, but I was expecting much better results.",Neutral
"This is the best serum I’ve ever used. My skin is glowing, and dark spots are fading!",Positive
"I regret purchasing this. It caused redness, and my skin didn’t improve at all.",Negative
"The serum feels lightweight and smooth, but I don’t see much of a brightening effect.",Neutral
I’m in love with this serum! My skin looks so much healthier and radiant now.,Positive
This didn’t work for me. It left my skin oily and did nothing to improve my tone.,Negative
"It’s alright. My skin feels hydrated, but I can’t tell if it’s really brighter yet.",Neutral
"This serum has transformed my skin! It’s smooth, bright, and so much healthier.",Positive
"After using this serum, my skin feels greasy and has started breaking out.",Negative
"The product is average. My skin feels soft, but there’s no noticeable difference in tone.",Neutral
"I’m so happy with the results! My skin looks clearer, brighter, and smoother.",Positive
I didn’t notice any change. It’s disappointing and doesn’t justify the price.,Negative
It’s okay. It hydrates well but doesn’t deliver on the brightening promise.,Neutral
"This serum is incredible! My skin looks glowing, and I’ve received so many compliments.",Positive
It irritated my skin and caused redness. Definitely not worth it for me.,Negative
"My skin feels a little better, but I’m not sure if I’ll repurchase this product.",Neutral
This serum has become a staple in my routine. My skin is glowing and so even-toned!,Positive
I’ve seen no improvement after weeks of use. I wouldn’t recommend this product.,Negative
"It’s a fair product. My skin feels moisturized, but I was expecting better results.",Neutral
I’m impressed! My skin is brighter and smoother. This serum works wonders.,Positive
"This serum didn’t do anything for me. My skin feels the same, and it’s not worth it.",Negative
My skin feels softer and brighter. I love how quickly it absorbs without feeling sticky!,Positive
I didn’t see any improvement in my dark spots. It’s not worth the hype for me.,Negative
"It’s an okay product. My skin feels hydrated, but the brightening claims are exaggerated.",Neutral
This serum has made my skin so radiant and smooth. It’s my new favorite skincare product!,Positive
I experienced redness and irritation after just one use. Not suitable for sensitive skin.,Negative
"The serum is lightweight and feels nice, but I haven’t noticed any significant changes yet.",Neutral
This serum has brightened my skin tone noticeably. I’m so impressed with the results!,Positive
"It left my skin feeling greasy, and I broke out after a few days of using it.",Negative
"It’s decent. My skin feels softer, but I’m still waiting to see a visible difference in brightness.",Neutral
I can’t believe how even my skin tone looks now! This serum is a game-changer for me.,Positive
This product didn’t work for me. My skin tone looks exactly the same after a month.,Negative
"It’s alright. The serum is moisturizing, but I haven’t seen a major improvement yet.",Neutral
I’m so happy with the glow this serum has given me. My skin has never looked this healthy!,Positive
I regret buying this serum. It caused irritation and didn’t deliver any results.,Negative
"The product is okay. My skin feels nice, but the brightening effect is very subtle.",Neutral
"This serum is amazing! My dark spots are fading, and my skin tone is so much more even.",Positive
This serum is too harsh for my skin. It made my face dry and flaky after a few uses.,Negative
"It’s an average product. I like the texture, but I’m not sure if I’ll repurchase.",Neutral
My skin looks and feels better than ever! I’m so impressed with this serum’s performance.,Positive
It didn’t suit my skin at all. I feel like I wasted my money on this product.,Negative
This serum brightened my skin after just a week! I’m super happy with the results.,Positive
"It didn’t work at all for me. My skin still looks dull, and I feel disappointed.",Negative
"The serum feels light and refreshing, but I haven’t noticed any major differences yet.",Neutral
I love how smooth and hydrated my skin feels! The glow is a nice bonus too.,Positive
It caused redness and irritation on my cheeks. I had to stop using it after a few days.,Negative
"It’s a decent product, but I’m not sure if it lives up to all the claims about brightening.",Neutral
This is the best serum I’ve ever tried! My skin looks healthier and brighter.,Positive
I regret buying this serum. It made my skin feel greasy and caused breakouts.,Negative
"It’s alright. My skin feels soft, but I was hoping for more noticeable results.",Neutral
I’ve never been so happy with my skin! This serum works like magic on dark spots.,Positive
"I’ve been using it for a month, but I see no difference. My skin tone remains uneven.",Negative
"The product is fine. It hydrates well, but the brightening effect is hardly noticeable.",Neutral
"I’m obsessed with this product! My skin is glowing, and I’ve received so many compliments.",Positive
This serum irritated my skin and left it feeling worse than before. Not worth it.,Negative
"It’s an okay product, but I expected better results for the price.",Neutral
"My skin looks brighter, and the texture feels so much smoother. I’m very satisfied!",Positive
It didn’t do anything for me. I wouldn’t recommend this to anyone looking for results.,Negative
"The product feels good on the skin, but I can’t tell if it’s making a big difference.",Neutral
"This serum has transformed my skin! It’s brighter, healthier, and feels rejuvenated.",Positive
I experienced redness and slight burning after applying this serum. Not good for sensitive skin.,Negative
"It’s okay, but I don’t think it’s worth repurchasing. The changes are minimal.",Neutral
I’m amazed by the results! My skin looks even-toned and radiant now.,Positive
This product didn’t suit my skin at all. It caused dryness and flaky patches.,Negative
"It’s decent, but there are other serums that work better for the same price.",Neutral
"I’ve seen great results! My dark spots are fading, and my skin feels super soft.",Positive
"This serum made my skin feel oily, and I saw no brightening effect after weeks of use.",Negative
"It’s an average product. My skin feels smooth, but the brightening effect is subtle.",Neutral
I love how this serum has brightened my complexion and reduced redness on my face.,Positive
"Unfortunately, this product caused irritation, and I had to discontinue using it.",Negative
"It’s okay. My skin feels hydrated, but I was expecting a more noticeable improvement.",Neutral
I love this serum! It’s super lightweight and has improved my skin tone drastically.,Positive
"The product feels nice initially, but it made my skin oily after a few hours.",Negative
"It’s okay. I don’t hate it, but I haven’t noticed any significant improvements.",Neutral
This is a game-changer for me. My skin is brighter and more even-toned now!,Positive
"Unfortunately, this serum caused small pimples on my cheeks. Not for me.",Negative
It’s a decent serum. Hydrating but not much of a brightening effect.,Neutral
"After using this for a few weeks, my skin looks clearer and feels very smooth. I’m happy!",Positive
The serum did not suit my skin at all. It made it red and itchy.,Negative
"The product feels good on the skin, but I haven’t seen major changes in brightness.",Neutral
"Amazing product! My dark spots are fading, and my skin glows more than ever.",Positive
It left my skin dry and irritated. I won’t be purchasing this again.,Negative
"It’s alright. My skin feels soft, but the brightening is barely noticeable.",Neutral
This serum works wonders! I’ve never felt more confident about my skin.,Positive
It clogged my pores and made my skin feel heavy. Very disappointing.,Negative
"It’s a nice addition to my routine, but I wish it had quicker results.",Neutral
I’m amazed by the transformation! My skin looks radiant and feels so healthy.,Positive
This serum caused irritation and redness on my sensitive skin. Not a good experience.,Negative
"It’s a fair product. My skin feels hydrated, but I’m not sure about the brightening yet.",Neutral
"I absolutely love this serum! It has boosted my confidence with brighter, smoother skin.",Positive
It didn’t work for me at all. My skin looks the same as before using it.,Negative
"The texture is great, but the brightening effect takes a long time to show.",Neutral
This serum has made my skin look so much better. My friends noticed the glow too!,Positive
"After using this, I got small breakouts. It’s not suitable for my skin type.",Negative
"It’s not bad, but it’s not impressive either. My skin feels soft, but no big changes.",Neutral
This is the best serum I’ve ever tried! My skin looks even-toned and radiant.,Positive
This product is too harsh for my skin. It caused irritation and a burning sensation.,Negative
"It’s okay, but I’m still waiting for the brightening effect to really kick in.",Neutral
I love how glowing and refreshed my skin looks now! Definitely a must-have product.,Positive
I regret buying this. It didn’t improve my skin and left it feeling greasy.,Negative
"It’s fine. My skin feels hydrated, but the results are not very noticeable.",Neutral
"My skin feels soft and hydrated, and the brightening effect is noticeable!",Positive
This product made my skin break out after two uses. Very disappointing.,Negative
"The serum is lightweight and absorbs quickly, but I don’t see any brightening yet.",Neutral
I’m so happy with the results! My skin is glowing and feels super smooth.,Positive
This serum caused redness and made my skin feel itchy. Definitely not for me.,Negative
"It’s alright. My skin feels softer, but I don’t notice much improvement in tone.",Neutral
"This is a fantastic product! My dark spots are fading, and my complexion is radiant.",Positive
"Unfortunately, this serum made my face oily and led to a few pimples.",Negative
I don’t have any strong feelings about this. It’s okay but nothing extraordinary.,Neutral
This serum works wonders! My skin looks brighter and feels smoother every day.,Positive
"It didn’t work for me. My skin looks the same, and it didn’t help with dark spots.",Negative
"It’s an average serum. My skin feels good, but I wouldn’t call it amazing.",Neutral
My skin has transformed! I’ve never felt more confident in my natural complexion.,Positive
This product left my skin irritated and dry. I won’t be using it again.,Negative
I’ve been using it for a few weeks. It’s decent but hasn’t given me dramatic results yet.,Neutral
The glow this serum gives my skin is unbelievable. I’m absolutely in love with it!,Positive
It caused breakouts and made my skin oily. Definitely not worth the hype.,Negative
"It’s okay, but I feel like there are better options out there at a similar price.",Neutral
This serum has been a game-changer! My skin looks and feels amazing.,Positive
I’m really disappointed. This product didn’t help my skin at all and caused irritation.,Negative
"It’s fine. My skin feels hydrated, but I’m not sure if it’s worth repurchasing.",Neutral
"My skin looks radiant, and I’ve gotten so many compliments. Highly recommend this serum!",Positive
This serum did nothing for my skin. It’s like I wasn’t using anything at all.,Negative
"The serum is nice and hydrating, but I wish it worked faster on brightening my skin.",Neutral
I’ve fallen in love with this serum! My skin tone has improved significantly.,Positive
It left my skin feeling greasy and didn’t deliver any noticeable results.,Negative
"It’s not bad, but I haven’t seen any major changes. My skin just feels a bit softer.",Neutral
"This serum has made such a difference. My skin is clearer, brighter, and so smooth.",Positive
I experienced redness and peeling after using this serum. Not for sensitive skin types.,Negative
"It’s okay. My skin feels softer, but I’m still waiting to see visible brightening results.",Neutral
This serum has made my skin so smooth and bright. It’s definitely a staple in my routine!,Positive
It made my skin break out and didn’t show any noticeable changes. Very disappointed.,Negative
"It’s a decent product. My skin feels soft, but I’m not sure if it’s brightening my skin.",Neutral
I can see a visible difference in my skin tone! It’s brighter and more even.,Positive
"The serum made my skin feel greasy, and it didn’t improve my skin at all.",Negative
"It’s okay. My skin feels hydrated, but the brightening effects are minimal.",Neutral
"I love this serum! It makes my skin feel fresh, smooth, and glowing.",Positive
This product didn’t work for me at all. I still have dark spots and uneven skin tone.,Negative
"It’s a nice serum, but I’m not seeing the dramatic brightening I was hoping for.",Neutral
I’m amazed by the glow this serum gives my skin! My complexion has definitely brightened.,Positive
"I’ve been using this for a week, and it left my skin feeling dry and irritated.",Negative
"It’s decent. The serum is light, but I’m still not sure if it’s doing anything for my skin.",Neutral
This serum has worked wonders for my skin. My dark spots are visibly fading.,Positive
It made my face oily and didn’t do anything for my skin. Not worth the price.,Negative
"My skin feels smoother, but I haven’t seen a huge difference in brightness.",Neutral
I love how smooth and even-toned my skin is after using this serum. Definitely recommend!,Positive
The serum didn’t brighten my skin as promised. I won’t be using this again.,Negative
"It’s good, but I was expecting a faster effect. The results are slow to show.",Neutral
"This serum is amazing! My skin looks radiant, and my complexion has evened out.",Positive
I had an allergic reaction to this serum. My face turned red and itchy after use.,Negative
"I’ve been using it for a while, but it hasn’t done much for my skin tone.",Neutral
"The serum feels nice on my skin, and I’ve noticed some improvement in my complexion.",Positive
"It’s a waste of money. It didn’t do anything for my skin, and it caused irritation.",Negative
"I like how light it feels, but I’m still waiting for the brightening effects to kick in.",Neutral
I’m so impressed! My skin feels softer and looks more radiant after just a few days.,Positive
This serum is too heavy for my skin. It caused me to break out after just a few uses.,Negative
"It’s okay, but I expected more. My skin feels hydrated, but I didn’t notice any brightening.",Neutral
"This product is fantastic! My dark spots are fading, and my skin feels so smooth.",Positive
"It didn’t help at all. My skin stayed the same, and it made me break out.",Negative
"It’s fine. It hydrates well, but I’m not sure about the brightening effects.",Neutral
"I love this serum! It made my skin glow, and I’ve noticed a significant improvement in my skin tone.",Positive
I didn’t like how sticky it felt. It didn’t make my skin feel any better.,Negative
"The product works fine. My skin feels soft, but I haven’t seen much of a change in brightness.",Neutral
